_id,item_name,image_src,ratings,content_text,customer_name,review_count
6631aa0467ac88171f5a9deb,손톱깎이 세트 - Smile We Love,https://wiggle-wiggle.com/web/product/small/202402/b8ac7129184bf0346b4a64e046f06918.jpg,4.9,너무 이쁘고 귀여운게 개성있습니다ㅎㅎ 손톱깍고싶어집니다~,손**,981
6631aa0467ac88171f5a9dec,줄자,https://wiggle-wiggle.com/web/product/small/202401/b4ffd4aae1f771003e6c20a61301643f.jpg,4.9,너무 이쁘고 귀여운게 개성있습니다ㅎㅎ,손**,832
6631aa0467ac88171f5a9ded,빅마그넷 클립 세트,https://cafe24img.poxo.com/wigglewiggle20/web/product/tiny/202302/da3608b7af2add2d889ff1d4e35d6dd9.jpg,5.0,만족 합니다!!ㅎㅅㅎ 예뻐요!!!ㅎㅎ 집 분위기가 달라져요!!!ㅎㅅㅎ 생각 보다 크네요! ㅎㅅㅎ 위글위글 많이 파세요!! 번창하세요!!ㅎㅅㅎㅎ,정**,287
6631aa0467ac88171f5a9dee,발매트 - Smile Rainbow,https://wiggle-wiggle.com/web/product/small/202212/2e0c4a06a7c85f46eb223341d1f8c919.jpg,4.9,폭신하고 너무 이뻐요 색감도 좋고 재질도 좋네오,han-so**,783
6631aa0467ac88171f5a9def,사각 러그 - Camping Bear,https://wiggle-wiggle.com/web/product/small/202205/0be3d2cbee8780f499713179b0c2244a.jpg,5.0,만족 합니다!!ㅎㅅㅎ 예뻐요!!!ㅎㅎ 집 분위기가 달라져요!!!ㅎㅅㅎ 생각 보다 크네요! 다른 사각 러그도 입고되면 사고 싶어요ㅎㅅㅎ 위글위글 많이 파세요!! 번창하세요!!ㅎㅅㅎㅎ,정**,142
6631aa0467ac88171f5a9df0,[주문제작] 투명케이스 - Couch Potato,https://wiggle-wiggle.com/web/product/small/202210/84ffddcc49fde2797bc825f1cac7e6c8.jpg,4.8,가벼워서 좋아요! 그립톡 있는걸로 살껄 고민했는데ㅜㅜ 다음엔 그립톡도 도전할래용🫶🏻,임**,42
6631aa0467ac88171f5a9df1,패드 파우치,https://wiggle-wiggle.com/web/product/small/202401/ffbf91370059e3a965d5f26a184cfeab.jpg,4.9,계속 품절이여서 못샀는데ㅜ 이번엔 성공해서 너무 기분 좋아요 😍,임**,681
6631aa0467ac88171f5a9df2,보냉백(S/L) - Smile We Love,https://wiggle-wiggle.com/web/product/small/202401/d3a5815038fd1157e3a958f029c2574d.jpg,4.9,여름에 아이랑 산책용으로 구매했는데~ 사이즈별로 구매 안한 나를 책망합니다 😩,임**,1191
6631aa0867ac88171f5a9df3,소프트키링 - Smile We Love,https://wigglewiggle20.cafe24.com/web/product/tiny/202108/f2bc621fb9cfc3ad91b23f565d29bc0f.jpg,4.9,모야모야! 아까워서 못쓰겠네ㅜㅜㅋㅋ 두개사서 다행이네요! 품절된거 다 못사서 후회중이예요ㅜ,임**,499
6631aa0867ac88171f5a9df4,쿠션담요 - Smile We Love,https://wiggle-wiggle.com/web/product/small/202302/244d8da4090358d8c12b1e802d54a7fe.jpg,5.0,너무귀여워요♡,정**,501
6631aa0867ac88171f5a9df5,발매트 - Smile Rainbow,https://wiggle-wiggle.com/web/product/small/202212/2e0c4a06a7c85f46eb223341d1f8c919.jpg,4.9,포장이 예뻐서 뭔가 했어요. 감각적인 박스 디자인에 반했습니다. 욕실매트로 깔아놨더니 집안 분위기가 확 달라지네요. 만족스러워요.,김**,783
6631aa0867ac88171f5a9df6,풀림방지 실리콘참 3 SET - Smile We Love,https://wiggle-wiggle.com/web/product/small/202302/9c9928b28b66ec199064ea9edc609606.jpg,4.9,가방에도 달고 크록스에도 달려고 넉넉히 6개 샀는데 만족입니다. 커서 한개씩만 달아도 가득차네요.,김**,556
6631aa0867ac88171f5a9df7,소프트키링 - Smile We Love,https://wigglewiggle20.cafe24.com/web/product/tiny/202108/f2bc621fb9cfc3ad91b23f565d29bc0f.jpg,4.9,귀여워요. 가방에 다니 발랄하면서 귀여워지네요.,김**,499
6631aa0867ac88171f5a9df8,라운지 로브 - Teddy Bear,https://wiggle-wiggle.com/web/product/small/202402/98dd3380912a0ec7449e22126a3f88cf.jpg,4.9,친구에게 선물하려고 샀어요. 세일기간에 사서 기분이 좋습니다. 깔끔한 포장 마음에 들어요.,김**,491
6631aa0967ac88171f5a9df9,펫 해피 쿠션 - Space Trip,https://wiggle-wiggle.com/web/product/small/202301/f18ac699d42aae261b60486378d7a908.jpg,4.9,앞으로 봐도 옆으로 봐도 뒤로 봐도 너무 너무 귀여워요 재질도 너무 좋고 좋은 제품을 좋은 가격에 구입한 것 같아서 더 기분이 좋아요 예쁘게 잘 사용할께요,Bootif**,72
6631aa0967ac88171f5a9dfa,펫 해피 쿠션 - UFO,https://wiggle-wiggle.com/web/product/small/202211/00a37292f2a9ad7fd2e47928f5b326d5.jpg,4.9,안 모습도 귀엽지만 뒷모습에도 꽃이 있어서 너무 귀여워요 밑에 밀리지 않게 갈 수 있는 멘트도 주셔서 더욱 좋은 것 같아요 또 구입할게요,Bootif**,75
