_id,large_category,middle_category,small_category,image_url,title,old_price,new_price,discount_rate,review_count,isSoldout
6631fff8f77a808f799135ff,fashion,액세서리,실리콘참,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/cdd6591c76b1547a713562f59fd89748.jpg,풀림방지 실리콘참 3 SET - Smile We Love,12600,11900,6%,556,false
6631fff8f77a808f79913600,fashion,액세서리,실리콘참,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202208/9e64d0797ed1e540e9046efa5bc38e6d.jpg,풀림방지 실리콘참 3 SET - Bear,16500,15600,5%,184,false
6631fff8f77a808f79913601,fashion,액세서리,실리콘참,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/fbc07226ac0a5ffa64ed3e7fdf20742a.jpg,실리콘참(S) - 6종 SET,21000,19900,5%,316,false
6631fff8f77a808f79913602,fashion,액세서리,실리콘참,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202305/5ddf97495108cb5a5649f4ed32da933b.jpg,실리콘참 5종 SET - Honey Bee,26800,23900,,146,false
6631fff8f77a808f79913603,fashion,액세서리,실리콘참,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202305/23b2796806bc8cf7d5acc1b050ca599c.jpg,젤리참 5종 SET - Bear Friends,26800,23900,,91,false
6631fff8f77a808f79913604,fashion,액세서리,실리콘참,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/cc10d290a54757bf0cd7425f5e2e2f4d.jpg,풀림방지 실리콘참 3 SET - Cherry,12600,11900,6%,243,false
66320001f77a808f79913606,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/cf50f9b7ef9d4f26c47bd2c641df49bb.jpg,투명우산 - Smile We Love,16800,15100,10%,650,false
66320001f77a808f79913607,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/30f451ee5a438d88e1189b84afb5ce2a.jpg,투명우산(돔형) - Smile We Love,13000,13000,,409,false
66320001f77a808f79913608,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202403/f37e4c46fe0184c5e5c610451460c0ad.jpg,키즈 우산 - Cotton Candy,16800,15100,10%,279,false
66320001f77a808f79913609,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202208/694a202c1b69d88c11cd1e63cbc245eb.jpg,암막 양우산 - Bears,34000,27200,,986,false
66320001f77a808f7991360a,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202208/8f12071ff9e0fd5fab4a498304d0bf82.jpg,우드 장우산 - Smile Argyle,35000,29700,,218,false
66320001f77a808f7991360b,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202208/a2b8929f18b9c6d3f83631933f145972.jpg,암막 양우산 - Smile We Love,34000,27200,,986,false
66320001f77a808f7991360c,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202208/bb646092eb2e784db4a6acddfe53e981.jpg,투명우산 - Little Bear,16800,15100,10%,202,false
66320001f77a808f7991360d,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202206/0ebb4acf7b109b63081391625bd55904.jpg,암막 양우산 - Garden,34000,27200,,986,false
66320001f77a808f7991360e,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/874e960f35383ec34a142eb696228744.jpg,투명우산 - Alley Cat,16800,15100,10%,203,false
66320001f77a808f7991360f,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202208/5ff2f936ed111a5455397b36c350d94d.jpg,투명우산 - Teddy Bear,16800,15100,10%,236,false
66320001f77a808f79913610,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202402/0335b1259444fc859c19678db42fc950.jpg,우드 장우산 - Smile_Check,35000,29700,,296,false
66320001f77a808f79913611,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202311/5a307ef214985d4663785dc26fae6951.jpg,블루밍 장우산 - Daisy Garden,35000,32900,6%,150,false
66320001f77a808f79913612,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202208/16ea1eaa6454cf2e4c529350b5e53c8a.jpg,투명우산 - Cocktail Party,16800,14900,,28,false
66320001f77a808f79913613,fashion,액세서리,우산,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202205/7181fbbfc5bc44db31637fef7b37551a.jpg,투명우산 - Sugar Candy Cherry,16800,15100,10%,158,false
6632000af77a808f79913615,fashion,액세서리,양말,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/e22ea13e75cbb2e7741c9cc2d6a1abe1.jpg,패턴 양말,7900,5900,,254,false
6632000af77a808f79913616,fashion,액세서리,양말,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202310/eb3d5ed5458b72f86061d92516735c40.jpg,키즈 패턴 양말 6종 세트 - Daily Kids Socks,27200,24800,9%,126,false
